number,trade_name,address,council,date_of_offence,offence_code,nature,penalty,party_served,date_served,issuer
3107524961,TASTE TETRAHEDRON,333 LIVERPOOL ROAD ASHFIELD 2131,Ashfield,07-04-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to store food in such a way that it is protected from the likelihood of contamination,$880 ,TASTE TETRAHEDRON PTY LTD,08-04-16,Ashfield Council
3139660471,TASTY EATING HOUSE,480 ANZAC PARADE KINGSFORD 2032,Randwick,11-11-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to store food in such a way that it is protected from the likelihood of contamination - previous warnings given,$880 ,XIANGMANTANG PTY LTD,16-11-16,Randwick City Council
3139659867,TEN JAPANESE CUISINE,70-82 BELMORE ROAD RANDWICK 2031,Randwick,25-02-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to take all practicable measures to eradicate and prevent the harbourage of pests - presence of pests,$440 ,"HYOUNG, YOUNG SUK",16-03-16,Randwick City Council
3131612752,TEZAS SANDWICH SHOP,"SHOP 5, 2 FRANK STREET WETHERILL PARK 2164",Fairfield,15-08-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to store potentially hazardous food under temperature control,$440 ,"KHOV, CHHENG KEANG",18-08-16,Fairfield City Council
3123940610,THAI FACE RESTAURANT,9-11 FALCON STREET CROWS NEST 2065,North Sydney,12-10-16,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warning given",$880 ,THAI FACE CROWS NEST PTY LTD,17-10-16,North Sydney City Council
3123940629,THAI FACE RESTAURANT,9-11 FALCON STREET CROWS NEST 2065,North Sydney,12-10-16,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to, when displaying food, take all practicable measures to protect the food from the likelihood of contamination - previous warning given",$880 ,THAI FACE CROWS NEST PTY LTD,17-10-16,North Sydney City Council
3147734820,THAI IN TERREY HILLS,205 MONA VALE ROAD TERREY HILLS 2084,Northern Beaches,11-08-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain easily accessible hand washing facilities on the food premises - previous warning given,$440 ,"SAINGAM, SARADA",15-08-16,Northern Beaches Council
3147734839,THAI IN TERREY HILLS,205 MONA VALE ROAD TERREY HILLS 2084,Northern Beaches,11-08-16,11338 - Fail to comply with Food Standards Code - Individual,"Fail to maintain at or near each hand washing facility a supply of - soap, previous warning given",$440 ,"SAINGAM, SARADA",15-08-16,Northern Beaches Council
3121188272,THAI NOODLE HOUSE,"SHOP 5, 62 MAIN STREET MERIMBULA 2548",Bega Valley,09-01-17,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain the food premises to the required standard of cleanliness - previous warnings given,$440 ,"HENCHAICHONE, SITTIKAI",13-01-17,Bega Valley Shire Council
3108246341,THAI PATTRA,1/41-51 BATHURST STREET GREYSTANES 2145,Holroyd,17-03-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain easily accessible hand washing facilities on the food premises,$880 ,THAI PATTRA RESTAURANT PTY LTD,21-03-16,Holroyd City Council
3108246360,THAI PATTRA,1/41-51 BATHURST STREET GREYSTANES 2145,Holroyd,17-03-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness,$880 ,THAI PATTRA RESTAURANT PTY LTD,21-03-16,Holroyd City Council
3043060186,THAI QUEANBEYAN RESTAURANT,13 MONARO STREET QUEANBEYAN 2620,Queanbeyan,02-03-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness,$880 ,THAI QUEANBEYAN PTY LTD,07-03-16,Queanbeyan City Council
3107098309,THAI TAKEAWAY,"SHOP 281, 152 BUNNERONG ROAD EASTGARDENS 2036",Botany Bay,28-04-16,11338 - Fail to comply with Food Standards Code - Individual,"Fail to maintain the food premises to the required standard of cleanliness - including fixtures, fittings and equipment",$440 ,"JUKWANNA, JARASLAK",03-05-16,Botany Bay City Council
3107098318,THAI TAKEAWAY,"SHOP 281, 152 BUNNERONG ROAD EASTGARDENS 2036",Botany Bay,28-04-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to take all practicable measures to eradicate and prevent the harbourage of pests - presence of pests,$440 ,"JUKWANNA, J",03-05-16,Botany Bay City Council
3107098327,THAI TAKEAWAY,"SHOP 281, 152 BUNNERONG ROAD EASTGARDENS 2036",Botany Bay,28-04-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to ensure food contact surfaces of equipment is in a clean and sanitary condition,$440 ,"JUKWANNA, JARASLAK",03-05-16,Botany Bay City Council
3107098336,THAI TAKEAWAY,"SHOP 281, 152 BUNNERONG ROAD EASTGARDENS 2036",Botany Bay,28-04-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to store food in such a way that it is protected from the likelihood of contamination,$440 ,"JUKWANNA, J",03-05-16,Botany Bay City Council
3107098345,THAI TAKEAWAY,"SHOP 281, 152 BUNNERONG ROAD EASTGARDENS 2036",Botany Bay,28-04-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to take all practicable measures to process only safe and suitable food,$440 ,"JUKWANNA, J",03-05-16,Botany Bay City Council
3108246168,THAI TASTE RESTAURANT,250-252 MERRYLANDS STREET MERRYLANDS 2160,Holroyd,16-03-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to store food in such a way that it is protected from the likelihood of contamination,$880 ,VIET THAI TRADING PTY LTD,17-03-16,Holroyd City Council
3108246177,THAI TASTE RESTAURANT,250-252 MERRYLANDS ROAD MERRYLANDS 2160,Holroyd,16-03-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness,$880 ,VIET THAI TRADING PTY LTD,17-03-16,Holroyd City Council
3108246186,THAI TASTE RESTAURANT,250-252 MERRYLANDS ROAD MERRYLANDS 2160,Holroyd,16-03-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to take all practicable measures to eradicate and prevent the harbourage of pests - presence of pests,$880 ,VIET THAI TRADING PTY LTD,17-03-16,Holroyd City Council
3108515420,THAI THYME,"SHOP FCK 3, 236 PACIFIC HIGHWAY HORNSBY 2077",Hornsby,08-12-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to display potentially hazardous food under temperature control - previous warnings given,$880 ,TIPSUK PTY LTD,12-12-16,Hornsby Shire Council
3161223010,THANH XUAN,"SHOP 4, 17 CANLEY VALE ROAD CANLEY VALE 2166",Fairfield,27-10-16,11342 - Sell food packaged/labelled contravening Food Standards Code - Individual,Sale of food labelled in contravention to Food Standards Code - previous warning given,$440 ,"MAI, LOAN THAI",22-11-16,NSW Food Authority
3141247460,THE BALD VIET,239 DARLING STREET BALMAIN 2041,Inner West,12-08-16,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to maintain at or near each hand washing facility a supply of - soap and single use towels, previous warning given",$880 ,MAI OPTIONS PTY LTD,15-08-16,Leichhardt Municipal Council
3141247479,THE BALD VIET,239 DARLING STREET BALMAIN 2041,Inner West,12-08-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to store food in such a way that it is protected from the likelihood of contamination,$880 ,MAI OPTIONS PTY LTD,15-08-16,Leichhardt Municipal Council
3094416555,THE BBQ,SHOP 6/113-125 DARBY STREET COOKS HILL 2300,Newcastle,04-01-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness - previous warning given,$880 ,JDI BUSINESS GROUP PTY LTD,24-02-16,Newcastle City Council
3094416564,THE BBQ,SHOP 6/113-125 DARBY STREET COOKS HILL 2300,Newcastle,04-01-16,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to take all practicable measures to eradicate and prevent the harbourage of pests - presence of pests, previous warning given",$880 ,JDI BUSINESS GROUP PTY LTD,24-02-16,Newcastle City Council
3094416573,THE BBQ,SHOP 6/113-125 DARBY STREET COOKS HILL 2300,Newcastle,04-01-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to ensure eating and drinking utensils is in a clean and sanitary condition - previous warning given,$880 ,JDI BUSINESS GROUP PTY LTD,24-02-16,Newcastle City Council
3094629057,THE BBQ,6/115 DARBY STREET COOKS HILL 2300,Newcastle,19-07-16,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to maintain at or near each hand washing facility a supply of - soap and single use towels, previous warnings given",$880 ,JDI BUSINESS GROUP PTY LTD,25-07-16,Newcastle City Council
3094629075,THE BBQ,6/115 DARBY STREET COOKS HILL 2300,Newcastle,19-07-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to take all practicable measures to process only safe and suitable food,$880 ,JDI BUSINESS GROUP PTY LTD,25-07-16,Newcastle City Council
3071909904,THE BULGOGI,SHOP 380 VICTORIA AVENUE CHATSWOOD 2067,Willoughby,01-02-16,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness",$880 ,SOUTHERN CROSS INVENTION GROUP PTY LTD,18-02-16,Willoughby City Council
3120571778,THE CAKE MERCHANT,72 QUEEN STREET CAMPBELLTOWN 2560,Campbelltown,27-10-16,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warning given",$880 ,SWEET AMBITION PTY LTD,02-11-16,Campbelltown City Council
